child,age_months,n_items,mean_intelligibility,age_adjusted_intelligibility
0301_M_AH,37,57,0.5087719298245614,-0.1492162142938948
0303_F_CT,39,67,0.6623134328358209,-0.008308442205195351
0303_M_AN,39,67,0.5939054726368159,-0.07671640240420033
0305_F_AN,41,66,0.6623737373737374,-0.02088186858983803
0305_F_MB,41,68,0.7107843137254902,0.0275287077619148
0305_M_JG,41,64,0.4609375,-0.22231810596357543
0307_F_IC,43,63,0.6726190476190476,-0.023270289267087033
0307_M_EC,43,57,0.631578947368421,-0.06431038951771358
0308_F_AGL,44,98,0.923918853255588,0.22171265090817377
0309_F_LB,45,96,0.8081473214285714,0.09962425361987762
0310_M_CP,46,97,0.8496809032891507,0.13484097001917733
0400_F_AJ,48,82,0.7505081300813008,0.023034465888768292
0402_F_KP,50,78,0.6455128205128206,-0.09459457460227114
0402_M_ON,50,98,0.8808369776482021,0.14072958253311044
0404_M_TC,52,78,0.7927350427350427,0.03999391669739186
0407_F_AF,55,98,0.7211734693877551,-0.05051825303373453
0407_M_SJ,55,87,0.8640804597701149,0.09238873734862535
0409_F_LE,57,98,0.8844873663751215,0.10016191303107272
0410_M_BR,58,88,0.8013257575757576,0.010683438770429297
0411_F_AW,59,98,0.8700315840621963,0.07307239979558836
0411_M_LM,59,86,0.45503875968992247,-0.3419204245766855
0500_F_IG,60,98,0.8548469387755102,0.05157088904762271
0500_M_QA,60,93,0.7705325140809012,-0.03274353564698633
0500_M_WD,60,97,0.8313757977417772,0.02809974801388966
0501_M_VB,61,98,0.8352162293488824,0.02562331415971532
0502_F_KM,62,98,0.8720238095238095,0.05611402887336287
0503_M_SR,63,98,0.9029397473275025,0.08071310121577624
0504_F_EC,64,98,0.7838556851311953,-0.04468782644181054
0505_M_EK,65,97,0.8465267550319097,0.011666377997624235
0506_F_LH,66,97,0.8700662739322533,0.02888903143668832
0509_F_ES,69,96,0.7885416666666667,-0.07158617221273707
0510_M_BK,70,97,0.8485640648011782,-0.01788063953950515
0511_F_IG,71,97,0.9828915071183112,0.11012993731634826
0601_M_JL,73,93,0.8978238607270865,0.012428560002564454
0603_F_CM,75,96,0.9079117063492064,0.009882674702125109
0603_M_LS,75,98,0.9245262390670554,0.026497207419974182
0604_F_CC,76,97,0.9174153166421207,0.013069419533759896
0605_M_CT,77,97,0.8760554737358861,-0.034607288833754316
0606_F_NS,78,98,0.9307701652089407,0.013790537178020736
0607_M_CE,79,95,0.9383208020050126,0.015024308512812966
0609_F_AK,81,94,0.8968971631205673,-0.03903306129419143
0609_M_MN,81,98,0.8380952380952381,-0.09783498631952064
0611_F_AP,83,98,0.9476433430515063,-9.206122858115735e-4
0700_F_JL,84,97,0.985898379970545,0.031017559171947456
0700_M_GB,84,98,0.8679421768707483,-0.08693864392784925
